,company,headline,date,overall_rating,author_position,pros,cons
0,Singapore Press,Good work life balance,2022-04-06,5.0,Senior Manager Software Engineering,Great company to work with,No major learning expected from here
1,Singapore Press,"Company is old, but work life balance is excellent.",2022-04-05,4.0,Digital Marketing Executive,"Company has great work life balance, get ready to end work at 6pm and a little before most of the time.",Company structure is still old.
2,Singapore Press,Sunset industry,2022-04-02,1.0,Senior Manager,"Free newspaper
Can get to see some radio deejays","Management slow to changes
Red tape"
3,Singapore Press,Ppt and emails,2022-03-31,4.0,Anonymous Employee,"Hours, Collaboration, Reputation, Clear leave annually",Favouritism exists. Cover yourself. Everything is urgent
4,Singapore Press,Good company,2022-03-28,4.0,Manager,"Good pay, Good benefits, Good colleagues",Can be political at times
5,Singapore Press,Working at SPH,2022-03-23,2.0,Manager,standard duties in the company,Bosses are very bossy and think they own you
6,Singapore Press,assist,2022-03-22,2.0,Facilities Coordinator,good for low end worker,too good to work with
7,Singapore Press,Good learning opportunities,2022-03-22,4.0,Investment Manager,Great place to learn different investments,Uncertainty in job prospect due to ongoing M&A
8,Singapore Press,good place for learning,2022-03-16,3.0,Writer,"Learn new things and gain exposure to the industry 
Hone interview techniques 
Good place for fresh graduates",Marginal progression in my opinion
9,Singapore Press,Long hours,2022-03-16,3.0,Assistant Manager,"Nice colleagues, lots to learn","Poor management, no room for mistakes"
10,Singapore Press,Politics and culture holding back change,2022-03-15,3.0,Anonymous Employee,Quality people at the working level,Politics and culture that holds the company back
11,Singapore Press,Really great working environment,2022-03-09,5.0,Anonymous Employee,"Really great working environment, people are very helpful and genuinely collaborative.",Very tough industry and position for the company. Physical work environment can be quite dated in some parts of the office.
12,Singapore Press,Hit and miss bosses,2022-03-04,4.0,Journalist,There are very good people in the newsroom.,There are a few very poor supervisors in the newsroom.
13,Singapore Press,NA,2022-02-28,2.0,Manager,Okay as an employer company.,Extremely low salary with low increment.
14,Singapore Press,na,2022-02-27,1.0,Account Manager,"big company name
flexible working hours","horrible management
they dont know what they are doing"
15,Singapore Press,Temp review,2022-02-23,3.0,Temporary Customer Service Officer,"it is a reputable organisation
- people are nice and helpful","- can't go toilet often 
- managers micro manage at times"
16,Singapore Press,work life balance but not progress fast enough,2022-02-22,3.0,Product Manager,"Work life balance, colleagues are kind and nice","The whole organization lacks digital mindset, but they think they have, hence all the troublemakers dont think they made the trouble."
17,Singapore Press,Everyone is technical lead,2022-02-17,3.0,Technical Lead,"Good work-life balance
Meet nice people here","everyone is technical leas
Salary low"
18,Singapore Press,Good colleague and boss,2022-02-17,5.0,Journalist,"Get to attend events 
Good working environment",Can be quite stressful at times
19,Singapore Press,Good,2022-02-14,5.0,Senior Account Executive,"Good company, good employees, good work",Nil nothing much to add
20,Singapore Press,working relaxing,2022-02-10,4.0,Senior Lead Engineer,interview is easy and get offer,"very boring, sometime no working"
21,Singapore Press,Experience,2022-02-03,3.0,Senior Technical Lead,"Good work life balance, medical insurance",average pay & bonus. No insurance coverage for family
22,Singapore Press,nice people,2022-01-31,4.0,Journalist/Reporter,"friendly environment, open to pitched story ideas",things can get repetitive at times
23,Singapore Press,Old school mindset. Terrible leadership. People's careers go here to die.,2022-01-23,1.0,Marketing Specialist,"Honestly hard to find anything much to say. Young people, those in their 20s, are great to work with. But we don't stay long. Usually 1-2 years and you leave.","Where do I start? The mentality is very old school here. Many old timers with arrogant leadership. They force their will on others and are always quick to blame. Many shout and yell at subordinates. If you have good ideas, you will not be heard or even worse, the bosses will take it and claim it as their own. I was in the media creative side and it's very messy. Our stories are very boring, the creative directors have a 1990s print style. Our videos are like channel 5 in the 90s. It's very cringe and everyone thinks they're gods gift to the world. You get worn down day by day. Young and talented people leave. Only those who cannot go anywhere else (oldies) and those who smoke their way to their senior roles remain. All pretend to work or disappear at key times while picking up huge salary and bonus. Only join if you are about to retire. The public should take umbrage at how their tax dollars used to fund these cronies is being wasted away."
24,Singapore Press,Good for retirement,2022-01-11,5.0,Manager,"Salary is good, slow pace, relaxing company",Slow to no career progression as most management roles will be offered to Scholars
25,Singapore Press,"Poor direction, out of touch management",2022-01-09,2.0,Account Manager,"Good location 
Plenty of food options available","Management is out of touch, setting ridiculous targets
Poor compensation compared to work expected"
26,Singapore Press,Good company,2022-01-09,5.0,Anonymous Employee,Good company and colleagues are so friendly,Nothing to complain about SPh
27,Singapore Press,Avoid at all cost,2022-01-06,2.0,Finance Manager,Nothing at the moment to be honest.,Horrible senior management. Staff benefits are minimal and workload is heavy
28,Singapore Press,Not moving fast enough with times,2022-01-06,3.0,Producer,Kind hearted colleagues who are helpful,management is slow to moving with times
29,Singapore Press,So far ok,2022-01-04,3.0,Account Manager,"Good colleagues
Based on category for selling","Systematic
Not listening to lower departments"
30,Singapore Press,Working level good peers,2022-01-03,4.0,Marketing Manager,"work life balance, staff welfare good",constant change in company's goals
31,Singapore Press,Review,2021-12-28,3.0,Journalist/Reporter,"Collegial environment, second chances given","Lack of innovation, products losing relevance"
32,Singapore Press,Ok,2021-12-17,3.0,Journalist,Good exposure and career options,Long hours and low salary
33,Singapore Press,-,2021-12-10,5.0,Anonymous Employee,Work Life balance and good team,I don't see any negative side
34,Singapore Press,Salary,2021-12-08,3.0,Senior Account Manager,Great work environment in SPH,"Nothing much, everything is okay"
35,Singapore Press,Good supervisors,2021-12-03,5.0,Vice President Business Development,"Supervisor was good. Leadership was clear jn objectives. I was given opportunities to grow. During my time, I worked under the old management team, CEO Alan Chan, EVP Leslie Fong, EVP Tony Mallek, EVP Michael Chin. Great people to work with.",Nothing much. The old guards were really good.
36,Singapore Press,Have to say its Meh,2021-11-22,4.0,Technical Lead,"Its good if you want a work life balance.
My manager is pretty cool, talented and hands-on, which naturally commands respect, but his manager is little stuck up. So that trickles down to the product quality and us sometimes.","Since work life balance is pretty good, pay scale is not good. So if you are a hard working sorts, it will mean less rewarding experience for you."
37,Singapore Press,Join only if you are passionate,2021-11-17,3.0,Journalist%2FReporter,"For passion, loves media, get free media drop",There really isn't any personal hours as news goes on everyday
38,Singapore Press,backwards,2021-11-16,2.0,Anonymous Employee,location of the office is good,bosses not keen on improving / moving forward
39,Singapore Press,Caring and good HR management,2021-11-09,5.0,Copy Editor,=Caring and flexible about work hours and location,Too resistant to new ideas
40,Singapore Press,Good place to retire,2021-10-20,4.0,Business Development,The people are nice and it is not a very intense environment,Sunset industry so you are not on the cutting edge of developing trends..
41,Singapore Press,Friendly working environment,2021-10-18,4.0,Marketing Manager,Great colleagues and supportive working environment,Office politics and slow career progression
42,Singapore Press,Ok,2021-10-08,2.0,Journalist,It’s a big company and pretty stable,Lots of cons when it comes to progression
43,Singapore Press,Needs more structured development and training,2021-09-30,2.0,Journalist,"Talented colleagues, especially the younger ones who are more tech-savvy and brimming with ideas.","It's not about increasing headcount - there is sufficient headcount, but not necessarily in the right places.

The sheer number of layers in the hierarchy isn't always productive. An important story may have 10 people breathing down your neck looking at it, with another 10 doing visuals concurrently asking you the same set of questions about what to do next. 
This can only mean one thing - the supervisors are not talking to one another and coordinating - but just relaying management's queries to the journalist, without taking some time to process it and manage their bosses at their end."
44,Singapore Press,Work,2021-09-30,4.0,Events Coordinator,"Good working experience 

Learnt alot","Alot of OT

Some colleagues are toxic"
45,Singapore Press,Good Company with Toxic Culture,2021-09-29,2.0,Project Manager,"Stable 
Good Benefits
HR takes good care of its people
Competitive pay
Quite relaxed","- Toxic management who enjoys shouting and screaming at people and behaving condescendingly towards others
- Progression is slow
- Favouritism is widely practiced - Management will bring in people they know from previous appointments and give them high level positions even though they may not be the best at what they do"
46,Singapore Press,ok ok,2021-09-28,4.0,Executive,"no good, no bad. normal",promotion slow for some dept
47,Singapore Press,Account Manager,2021-09-26,4.0,Account Manager,"- Work life balance
- 18 days AL
- $150 dental
- $600 transport allowance for staff who do not drive and $750 for staff who drive
- Maternity is 4 calendar months instead of 16 weeks
- Bosses are generally nice and can talk","- Instability within the company
- Politics (salesperson fighting among themselves for the same accounts)
- Editorial team is difficult to work with
- Capped commission (meh)"
48,Singapore Press,Good environment,2021-09-20,4.0,Designer,"Good environment, pretty chill for newcomers.",Abit low salary but other than that it's quite chill.
49,Singapore Press,Good for work life balance,2021-09-19,2.0,Anonymous Employee,Minimal OT which is good for work life balance,"Messy and unorganised 
Implement changes but doesn’t see through to it"
50,Singapore Press,Ok,2021-09-17,4.0,Radio Presenter,Good people to work with,Management has been stagnant in terms of ideas and ways of managing staff
51,Singapore Press,"Ok before, probably good for greenhorns only seeking a few years of experience",2021-09-14,4.0,Sub Editor,"Great benefits; As sub-editor, didn't have any take-home work; When on leave, you are on leave (free) and no accumulated work when you return to newsroom because the work is about news",Tight deadlines; Night shift; Some divas
52,Singapore Press,Great company,2021-09-12,5.0,Senior Quality Assurance Engineer,"Work life balance
New Technology Training
HR employee engagement",I have no bad feedback so far.
53,Singapore Press,Family Oriented Environment,2021-09-10,3.0,Manager,"Family oriented environment, helpful colleagues, good benefits, cheap canteen food, location near mrt",Low salary. Management that does not hear the ground. Frequent restructuring.
54,Singapore Press,Good culture,2021-09-09,5.0,Engineer,"1. Good & healthy culture where your colleagues will help you if you seek
2. Good learning opportunity
3. No politics","1. Slow pace
2. Not so high pay"
55,Singapore Press,sph job,2021-09-08,1.0,Sph Editor,The job is easy and mundane,Alot of politics and favoritism
56,Singapore Press,Good for awhile.,2021-09-08,2.0,Journalist/Reporter,"Central location. Good medical. Newspaper subscriptions. Good place to get your feet wet, and learn the very basics of the newsroom environment.","Archaic leadership. Averse to change. Not forward thinking. Cliquish culture leads to a political environment. Doesn't respect and/or understand work/life balance. Doesn't listen to the boots on the ground, nor the people with the finger on the pulse. Looks to the west for inspiration, but held back by deep rooted Asian culture. Don't have a customer centric approach, but are on the side of the stakeholders. 

Career growth support of the employee is non-existent."
57,Singapore Press,ok,2021-09-08,3.0,Anonymous Employee,"Not too bad, stable job, comfortable pace","No direction, sometimes can be boring"
58,Singapore Press,Very rigid culture,2021-09-06,3.0,Analyst,"Great team, love working together","rigid culture, slow to get things done"
